year,title,authors,journal,link,pdf,code,topic,method,context
2026,"Artificial Intelligence in Election Campaigns: Perceptions, Penalties, and Implications","Andreas Jungherr, Adrian Rauchfleisch, A Wuttke",Political Communication,https://doi.org/10.1016/j.tele.2025.102363,files/pub/2026_jungherr_polit_commun.pdf,https://osf.io/7rsv3/overview,AI|Politics/Elections|Public Opinion,Experiment|Survey Data,US
2025,Artificial Intelligence in Deliberation: The AI Penalty and the Emergence of a New Deliberative Divide,"Andreas Jungherr, Adrian Rauchfleisch",Government Information Quarterly,https://doi.org/10.1016/j.tele.2025.102352,files/pub/2026_jungherr_polit_commun.pdf,https://osf.io/7rsv3/overview,AI|Public Opinion,Experiment|Survey Data,Germany
2025,"Days, Schedules, and Attention: How Time Affects Mobile News Consumption Among Young Swiss People","Morley Weston, Daniel Vogler, Adrian Rauchfleisch, Pascal Jurgens, Mark Eisenegger",Mobile Media & Communication,https://doi.org/10.1016/j.tele.2025.102362,files/pub/2026_jungherr_polit_commun.pdf,https://osf.io/7rsv3/overview,Journalism|Social Media,Platform Data,Switzerland
2025,Deepfakes or Synthetic Media? The Effect of Euphemisms for Labeling Technology on Risk and Benefit Perceptions,"Adrian Rauchfleisch, Daniel Vogler",Social Media + Society,https://doi.org/10.1016/j.tele.2025.102356,files/pub/2026_jungherr_polit_commun.pdf,https://osf.io/7rsv3/overview,AI|Disinformation|Public Opinion,Experiment|Survey Data,Switzerland
2025,Explaining Public Preferences for Regulating Artificial Intelligence in Election Campaigns: Evidence from the U.S. and Taiwan,"Adrian Rauchfleisch, et al.",Telecommunications Policy,https://doi.org/10.1016/j.tele.2025.102357,files/pub/2026_jungherr_polit_commun.pdf,https://osf.io/7rsv3/overview,AI|Politics/Elections|Public Opinion,Comparative|Survey Data,US|Taiwan|Cross-national
2025,Extreme Weather Event Attribution Predicts Climate Policy Support Across the World,"Nicole Cologna, Adrian Rauchfleisch, et al.",Nature Climate Change,https://doi.org/10.1016/j.tele.2025.102350,files/pub/2026_jungherr_polit_commun.pdf,https://osf.io/7rsv3/overview,Science Communication|Public Opinion,Comparative|Survey Data,Cross-national
2025,"Perceptions of Science, Science Communication, and Climate Change Attitudes in 68 Countries Ã¢â‚¬â€œ The TISP Dataset","Michael Mede, Adrian Rauchfleisch, et al.",Scientific Data,https://doi.org/10.1016/j.tele.2025.102355,files/pub/2026_jungherr_polit_commun.pdf,https://osf.io/7rsv3/overview,Science Communication|Public Opinion,Comparative|Survey Data,Cross-national
2025,Public Communication About Science in 68 Countries,"Michael Mede, Adrian Rauchfleisch, et al.",Science Communication,https://doi.org/10.1016/j.tele.2025.102354,files/pub/2026_jungherr_polit_commun.pdf,https://osf.io/7rsv3/overview,Science Communication|Public Opinion|Social Media,Comparative|Survey Data,Cross-national
2025,Public Opinion on the Politics of AI Alignment: Cross-National Evidence on Expectations for AI Moderation From Germany and the United States,"Andreas Jungherr, Adrian Rauchfleisch",Social Media + Society,https://doi.org/10.1016/j.tele.2025.102353,files/pub/2026_jungherr_polit_commun.pdf,https://osf.io/7rsv3/overview,AI|Public Opinion|Politics/Elections,Comparative|Survey Data,US|Germany|Cross-national
2025,Soft Disempowerment Dynamics in the 2022 FIFA World Cup,"Joshua Philip Suarez, Nikka Marie Sales, Adrian Rauchfleisch",Humanities and Social Sciences Communications,https://doi.org/10.1016/j.tele.2025.102359,files/pub/2026_jungherr_polit_commun.pdf,https://osf.io/7rsv3/overview,Social Media|Public Opinion,Text Analysis|Platform Data|Comparative,Cross-national
